indonesian_original,indonesian,papua_kokas,is_augmented
tolong beri tahu saya jika kamu merasa tidak nyaman.,Mohon beri tahu saya apabila kamu merasa tidak nyaman.,tolong farokwai adi yai kalo omirasa kurang kuwes,True
tolong beri tahu saya jika kamu merasa tidak nyaman.,tolong beri tahu saya jika kamu merasa tidak nyaman.,tolong farokwai adi yai kalo omirasa kurang kuwes,False
bagaimana cara kamu mengatur keuangan pribadi?,Bagaimana caramu mengelola keuangan pribadi?,akape cara o mi atur keuangan pribadi?,True
bagaimana cara kamu mengatur keuangan pribadi?,bagaimana cara kamu mengatur keuangan pribadi?,akape cara o mi atur keuangan pribadi?,False
apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif?,Apa yang dapat kita lakukan untuk mendukung pertumbuhan ekonomi kreatif?,kwai kusafa yang bisa tana buat mendukung pengembangan ekonomi kreatif?,True
apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif?,apa yang bisa kita lakukan untuk mendukung pengembangan ekonomi kreatif?,kwai kusafa yang bisa tana buat mendukung pengembangan ekonomi kreatif?,False
konsep keluarga yang berubah seiring waktu dan perubahan budaya,Konsep keluarga yang mengalami perubahan seiring waktu dan pergeseran budaya.,konsep keluarga sina berubah seiring waktu adi perubahan budaya,True
konsep keluarga yang berubah seiring waktu dan perubahan budaya,konsep keluarga yang berubah seiring waktu dan perubahan budaya,konsep keluarga sina berubah seiring waktu adi perubahan budaya,False
"maaf, saya tidak sengaja menyebabkan kerusakan","Saya mohon maaf, kerusakan tersebut terjadi tanpa disengaja oleh saya.","maaf, yai sengaja ta ena kerusakan",True
"maaf, saya tidak sengaja menyebabkan kerusakan","maaf, saya tidak sengaja menyebabkan kerusakan","maaf, yai sengaja ta ena kerusakan",False
pentingnya mendeteksi dan mengobati penyakit menular dengan cepat untuk mencegah penyebaran,Penyakit menular perlu dideteksi dan diobati dengan cepat guna mencegah penularannya.,parlu tadeteksi adi tana mofin penyakit menular adi perar bota cegah penularan,True
pentingnya mendeteksi dan mengobati penyakit menular dengan cepat untuk mencegah penyebaran,pentingnya mendeteksi dan mengobati penyakit menular dengan cepat untuk mencegah penyebaran,parlu tadeteksi adi tana mofin penyakit menular adi perar bota cegah penularan,False
apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan,Bagaimana pendapatmu mengenai peran seni dalam pendidikan?,kwai kusafa yang o pikir adi pentingnya seni ami pendidikan nanam,True
apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan,apa yang kamu pikirkan tentang pentingnya seni dalam pendidikan,kwai kusafa yang o pikir adi pentingnya seni ami pendidikan nanam,False
anjing tetangga suka menggonggong setiap malam,"Setiap malam, anjing tetangga kerap menggonggong.",sina yasi yanak suka auwa ririr masiag yag,True
anjing tetangga suka menggonggong setiap malam,anjing tetangga suka menggonggong setiap malam,sina yasi yanak suka auwa ririr masiag yag,False
film terbaru di bioskop selalu dinanti oleh banyak orang,Banyak orang selalu menantikan film terbaru yang tayang di bioskop.,film beri-beri ami bioskop salalu sina atom oleh mincia yani,True
film terbaru di bioskop selalu dinanti oleh banyak orang,film terbaru di bioskop selalu dinanti oleh banyak orang,film beri-beri ami bioskop salalu sina atom oleh mincia yani,False
bagaimana caramu mendukung gerakan anti-bullying,Bagaimana kamu memberikan dukungan terhadap gerakan anti-bullying?,o cara akape mendukung gerakan anti bullying,True
bagaimana caramu mendukung gerakan anti-bullying,bagaimana caramu mendukung gerakan anti-bullying,o cara akape mendukung gerakan anti bullying,False
apa yang ingin kamu lakukan untuk merayakan akhir pekan ini,Apa rencanamu untuk merayakan akhir pekan ini?,omau mua kwai safa untuk rayakan akhir pekan ige,True
apa yang ingin kamu lakukan untuk merayakan akhir pekan ini,apa yang ingin kamu lakukan untuk merayakan akhir pekan ini,omau mua kwai safa untuk rayakan akhir pekan ige,False
apa pendapatmu tentang seni bagaimana pengalamanmu dengan seni,Bagaimana pandangan dan pengalamanmu terkait seni?,o pendapat akape adi seni o pengalaman akape adi seni,True
apa pendapatmu tentang seni bagaimana pengalamanmu dengan seni,apa pendapatmu tentang seni bagaimana pengalamanmu dengan seni,o pendapat akape adi seni o pengalaman akape adi seni,False
ayo berbicara tentang rencana liburan musim panas,Mari kita diskusikan rencana liburan musim panas.,yo afrok kwai tentang rencana liburan musim panas,True
ayo berbicara tentang rencana liburan musim panas,ayo berbicara tentang rencana liburan musim panas,yo afrok kwai tentang rencana liburan musim panas,False
"iya, aku suka pasta dan pizza.","Betul, saya menyukai pasta dan pizza.","yo, yai suka pasta adi pizza",True
"iya, aku suka pasta dan pizza.","iya, aku suka pasta dan pizza.","yo, yai suka pasta adi pizza",False
bagaimana pandanganmu tentang pentingnya literasi kesehatan di sekolah,Bagaimana menurutmu pentingnya literasi kesehatan di sekolah?,o pandangan akape adi pentingnya literasi kesehatan ami sakolah,True
bagaimana pandanganmu tentang pentingnya literasi kesehatan di sekolah,bagaimana pandanganmu tentang pentingnya literasi kesehatan di sekolah,o pandangan akape adi pentingnya literasi kesehatan ami sakolah,False
internet of things menghubungkan berbagai perangkat rumah tangga,Berbagai perangkat rumah tangga terhubung melalui internet of things.,internet of things ana hubungan makin karagar adi keluarga sina keperluan alat rumah tangga,True
internet of things menghubungkan berbagai perangkat rumah tangga,internet of things menghubungkan berbagai perangkat rumah tangga,internet of things ana hubungan makin karagar adi keluarga sina keperluan alat rumah tangga,False
apa yang kamu ketahui tentang sastra indonesia?,Apa pengetahuanmu mengenai sastra Indonesia?,o bare kusafa adi sastra indonesia,True
apa yang kamu ketahui tentang sastra indonesia?,apa yang kamu ketahui tentang sastra indonesia?,o bare kusafa adi sastra indonesia,False
hari ini saya merayakan ulang tahun saya,Hari ini adalah hari ulang tahun saya.,madige yai rayakan ehari kelahiran,True
hari ini saya merayakan ulang tahun saya,hari ini saya merayakan ulang tahun saya,madige yai rayakan ehari kelahiran,False
program penanaman pohon di sekolah mendukung keberlanjutan lingkungan,Program penanaman pohon di sekolah berkontribusi pada kelestarian lingkungan.,program tasai pohon ami sakolah mendukung ita lingkungan ati matan,True
program penanaman pohon di sekolah mendukung keberlanjutan lingkungan,program penanaman pohon di sekolah mendukung keberlanjutan lingkungan,program tasai pohon ami sakolah mendukung ita lingkungan ati matan,False
"tidak terlalu, aku lebih suka film komedi.","Tidak begitu, saya lebih menyukai film komedi.","kurang kuruk magin, yai lebih suka film komedi.",True
"tidak terlalu, aku lebih suka film komedi.","tidak terlalu, aku lebih suka film komedi.","kurang kuruk magin, yai lebih suka film komedi.",False
kamu ingin berbicara tentang rencana investasi keuanganmu?,Apakah kamu ingin mendiskusikan rencana investasi keuanganmu?,omau ofarakwai tentang rencana o invertasi keuangan,True
kamu ingin berbicara tentang rencana investasi keuanganmu?,kamu ingin berbicara tentang rencana investasi keuanganmu?,omau ofarakwai tentang rencana o invertasi keuangan,False
apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan?,Apa yang dapat kita lakukan untuk mendukung pengembangan energi berkelanjutan?,kwai kusafa yang bisa tana buat mendukung pengembangan energi berkelanjutan?,True
apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan?,apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan?,kwai kusafa yang bisa tana buat mendukung pengembangan energi berkelanjutan?,False
bagaimana cara kita bisa mendukung program pemberdayaan ekonomi masyarakat,Bagaimana cara mendukung program pemberdayaan ekonomi masyarakat?,akape ita cara bisa mendukung program tana berdaya ekonomi masyarakat,True
bagaimana cara kita bisa mendukung program pemberdayaan ekonomi masyarakat,bagaimana cara kita bisa mendukung program pemberdayaan ekonomi masyarakat,akape ita cara bisa mendukung program tana berdaya ekonomi masyarakat,False
pendidikan sebagai alat untuk memahami dan mengatasi masalah penggunaan narkoba,Pendidikan berfungsi sebagai alat untuk memahami dan mengatasi masalah penyalahgunaan narkoba.,a sekolah nukwa alat buat ta mengerti adi ta atasi masalah sina apaki mofin terlarang,True
pendidikan sebagai alat untuk memahami dan mengatasi masalah penggunaan narkoba,pendidikan sebagai alat untuk memahami dan mengatasi masalah penggunaan narkoba,a sekolah nukwa alat buat ta mengerti adi ta atasi masalah sina apaki mofin terlarang,False
aku suka menggambar atau menulis cerita pendek,Saya gemar melukis atau menulis cerita pendek.,yai suka menggambar adi carita fisik magin,True
aku suka menggambar atau menulis cerita pendek,aku suka menggambar atau menulis cerita pendek,yai suka menggambar adi carita fisik magin,False
"sudah lama kita tidak bertemu, bukan","Sudah lama kita tidak berjumpa, ya.","tuarikaf, ita ta ketemu, yokaf",True
"sudah lama kita tidak bertemu, bukan","sudah lama kita tidak bertemu, bukan","tuarikaf, ita ta ketemu, yokaf",False
bagaimana perasaanmu setelah meraih prestasi tersebut,Bagaimana perasaan Anda setelah mencapai prestasi itu?,operasaan akape setelah omisinaga prestasi nukwa,True
bagaimana perasaanmu setelah meraih prestasi tersebut,bagaimana perasaanmu setelah meraih prestasi tersebut,operasaan akape setelah omisinaga prestasi nukwa,False
hari ini cuaca sangat cerah.,Cuaca hari ini amat cerah.,madige cuaca kues,True
hari ini cuaca sangat cerah.,hari ini cuaca sangat cerah.,madige cuaca kues,False
bagaimana pendapatmu tentang tren fashion saat ini,Bagaimana pandangan Anda mengenai tren mode masa kini?,opendapat akape adi tren fasion saat ige,True
bagaimana pendapatmu tentang tren fashion saat ini,bagaimana pendapatmu tentang tren fashion saat ini,opendapat akape adi tren fasion saat ige,False
apa yang harus dilakukan untuk meningkatkan astronomi,Apa yang perlu dilakukan untuk memajukan astronomi?,kwai kusafa yang parlu tana buat ta tingkatkan ilmu luar angkasa,True
apa yang harus dilakukan untuk meningkatkan astronomi,apa yang harus dilakukan untuk meningkatkan astronomi,kwai kusafa yang parlu tana buat ta tingkatkan ilmu luar angkasa,False
bagaimana pandanganmu tentang perkembangan e-commerce di indonesia,Bagaimana pandangan Anda tentang perkembangan e-commerce di Indonesia?,o pandangan akape adi perkembangan e-commerce ami indonesia,True
bagaimana pandanganmu tentang perkembangan e-commerce di indonesia,bagaimana pandanganmu tentang perkembangan e-commerce di indonesia,o pandangan akape adi perkembangan e-commerce ami indonesia,False
implementasi pendekatan pembelajaran berbasis masalah untuk mempromosikan pemecahan masalah,Penerapan pendekatan pembelajaran berbasis masalah untuk mendorong penyelesaian masalah.,tana pendekatan belajar berbasis masalah buat sina ana pemecahan masalah,True
implementasi pendekatan pembelajaran berbasis masalah untuk mempromosikan pemecahan masalah,implementasi pendekatan pembelajaran berbasis masalah untuk mempromosikan pemecahan masalah,tana pendekatan belajar berbasis masalah buat sina ana pemecahan masalah,False
"maaf, aku tidak bisa datang ke pesta itu","Maaf, saya tidak dapat hadir di pesta tersebut.",maaf yai aera ta ema ami pesta nukwa,True
"maaf, aku tidak bisa datang ke pesta itu","maaf, aku tidak bisa datang ke pesta itu",maaf yai aera ta ema ami pesta nukwa,False
apa pendapatmu tentang pentingnya inovasi dalam teknologi ramah lingkungan,Bagaimana pendapat Anda mengenai pentingnya inovasi dalam teknologi ramah lingkungan?,o pendapat akape adi pentingnya tana perubahan ami nanam teknologi ramah lingkungan,True
apa pendapatmu tentang pentingnya inovasi dalam teknologi ramah lingkungan,apa pendapatmu tentang pentingnya inovasi dalam teknologi ramah lingkungan,o pendapat akape adi pentingnya tana perubahan ami nanam teknologi ramah lingkungan,False
teman-teman saya mengajak saya bermain sepak bola.,Saya diajak teman-teman untuk bermain sepak bola.,e teman-teman sina ajak yai amnagin bola kaki,True
teman-teman saya mengajak saya bermain sepak bola.,teman-teman saya mengajak saya bermain sepak bola.,e teman-teman sina ajak yai amnagin bola kaki,False
apa tantangan terbesar dalam astronomi,Apa tantangan terbesar dalam bidang astronomi?,kusafa watan tantangan paling magen ami nanam luar angkasa,True
apa tantangan terbesar dalam astronomi,apa tantangan terbesar dalam astronomi,kusafa watan tantangan paling magen ami nanam luar angkasa,False
bagaimana cara kita bisa mendukung program pemberdayaan perempuan,Bagaimana cara kita dapat mendukung program pemberdayaan perempuan?,akape ita cara mendukung program tana berdayakan batbata,True
bagaimana cara kita bisa mendukung program pemberdayaan perempuan,bagaimana cara kita bisa mendukung program pemberdayaan perempuan,akape ita cara mendukung program tana berdayakan batbata,False
bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan pelajar?,Bagaimana pandangan Anda tentang pentingnya literasi hukum di kalangan pelajar?,o pandangan akape adi pentingnya literasi hukum ami kalangan kukanak sakolah ami,True
bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan pelajar?,bagaimana pandanganmu tentang pentingnya literasi hukum di kalangan pelajar?,o pandangan akape adi pentingnya literasi hukum ami kalangan kukanak sakolah ami,False
apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata berkelanjutan?,Apa yang dapat kita lakukan untuk mendukung pengembangan pariwisata berkelanjutan?,kwai kusafa yang bisa tana buat ta dukung pariwisata apana tarus,True
apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata berkelanjutan?,apa yang bisa kita lakukan untuk mendukung pengembangan pariwisata berkelanjutan?,kwai kusafa yang bisa tana buat ta dukung pariwisata apana tarus,False
. bagaimana pendapatmu tentang perkembangan industri kreatif di indonesia?,Bagaimana pendapat Anda tentang perkembangan industri kreatif di Indonesia?,o pendapat akape adi perkembangan industri kreatif ami indonesia?,True
. bagaimana pendapatmu tentang perkembangan industri kreatif di indonesia?,. bagaimana pendapatmu tentang perkembangan industri kreatif di indonesia?,o pendapat akape adi perkembangan industri kreatif ami indonesia?,False
bagaimana cara kita bisa mendukung program kesehatan bagi lansia,Bagaimana cara kita dapat mendukung program kesehatan bagi lansia?,akape ita cara bisa ta dukung program kesehatan buat kasuk adi kasuk bata wanas sina,True
bagaimana cara kita bisa mendukung program kesehatan bagi lansia,bagaimana cara kita bisa mendukung program kesehatan bagi lansia,akape ita cara bisa ta dukung program kesehatan buat kasuk adi kasuk bata wanas sina,False
apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif,Apa yang dapat kita lakukan untuk mendukung pengembangan pendidikan inklusif?,kwai kusafa yang bisa tana buat mendukung pengembangan a sekolah inklusif,True
apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif,apa yang bisa kita lakukan untuk mendukung pengembangan pendidikan inklusif,kwai kusafa yang bisa tana buat mendukung pengembangan a sekolah inklusif,False
kamu suka menonton film genre apa?,Genre film apa yang Anda sukai?,o suka afogim film genre kusafa?,True
kamu suka menonton film genre apa?,kamu suka menonton film genre apa?,o suka afogim film genre kusafa?,False
apa tantangan terbesar dalam fotografi,Apa tantangan terbesar dalam dunia fotografi?,kusafa tantangan paling magen ami nanam fotografi,True
apa tantangan terbesar dalam fotografi,apa tantangan terbesar dalam fotografi,kusafa tantangan paling magen ami nanam fotografi,False
tolong beri saya petunjuk untuk ke toko elektronik,Mohon berikan arahan menuju toko elektronik.,tolong fatota yai ati toko elektronik,True
tolong beri saya petunjuk untuk ke toko elektronik,tolong beri saya petunjuk untuk ke toko elektronik,tolong fatota yai ati toko elektronik,False
pelatihan guru adalah kunci untuk meningkatkan kualitas pengajaran di sekolah,Peningkatan mutu pengajaran di sekolah bergantung pada pelatihan bagi para guru.,guru sina pelatihan adalah kunci buat atingkatkan kualitas pengajaran ami sakolah,True
pelatihan guru adalah kunci untuk meningkatkan kualitas pengajaran di sekolah,pelatihan guru adalah kunci untuk meningkatkan kualitas pengajaran di sekolah,guru sina pelatihan adalah kunci buat atingkatkan kualitas pengajaran ami sakolah,False
. apa yang kamu ketahui tentang keragaman etnis di indonesia?,Apa pengetahuan Anda mengenai keberagaman etnis di Indonesia?,o bare kusafa adi keragaman etnis ami indonesia,True
. apa yang kamu ketahui tentang keragaman etnis di indonesia?,. apa yang kamu ketahui tentang keragaman etnis di indonesia?,o bare kusafa adi keragaman etnis ami indonesia,False
menjaga batasan yang sehat antara pekerjaan dan kehidupan keluarga,Mempertahankan batasan yang sehat antara pekerjaan dan kehidupan keluarga.,tajaga batasan yang kues antara ita karja adi ita keluarga sina hidup,True
menjaga batasan yang sehat antara pekerjaan dan kehidupan keluarga,menjaga batasan yang sehat antara pekerjaan dan kehidupan keluarga,tajaga batasan yang kues antara ita karja adi ita keluarga sina hidup,False
saya setuju dengan pendapatmu,Saya sependapat dengan Anda.,yai setuju adi o pendapat,True
saya setuju dengan pendapatmu,saya setuju dengan pendapatmu,yai setuju adi o pendapat,False
saya ingin memperbaiki kursi yang rusak,Saya berniat memperbaiki kursi yang rusak.,yai emau etdamik kaderak rusak,True
saya ingin memperbaiki kursi yang rusak,saya ingin memperbaiki kursi yang rusak,yai emau etdamik kaderak rusak,False
mengenali dan mengelola penyakit kronis untuk menjaga kualitas hidup,Mengenali dan mengendalikan penyakit kronis demi menjaga kualitas hidup.,tabre adi ta kelola penyakit ma berat buat ta jaga kualitas hidup,True
mengenali dan mengelola penyakit kronis untuk menjaga kualitas hidup,mengenali dan mengelola penyakit kronis untuk menjaga kualitas hidup,tabre adi ta kelola penyakit ma berat buat ta jaga kualitas hidup,False
saya senang bisa membantu,Saya merasa senang dapat membantu.,enawan sanang ebantu,True
saya senang bisa membantu,saya senang bisa membantu,enawan sanang ebantu,False
apa yang kamu ketahui tentang festival-festival di indonesia,Apa yang Anda ketahui mengenai festival-festival di Indonesia?,o bare kusafa adi festival-festival ami indonesia,True
apa yang kamu ketahui tentang festival-festival di indonesia,apa yang kamu ketahui tentang festival-festival di indonesia,o bare kusafa adi festival-festival ami indonesia,False
kamu suka menonton acara komedi?,Apakah Anda gemar menonton acara komedi?,o suka mifogin acara komedi?,True
kamu suka menonton acara komedi?,kamu suka menonton acara komedi?,o suka mifogin acara komedi?,False
pernahkah kamu pergi berkemah,Pernahkah Anda pergi berkemah?,o pernah miti berkemah,True
pernahkah kamu pergi berkemah,pernahkah kamu pergi berkemah,o pernah miti berkemah,False
aku akan mencuci mobil sore ini,Saya akan mencuci mobil nanti sore.,emau eburi mobil rera titi ige,True
aku akan mencuci mobil sore ini,aku akan mencuci mobil sore ini,emau eburi mobil rera titi ige,False
bisakah kamu merekomendasikan buku bagus,Dapatkah Anda menyarankan buku yang bagus?,obisa merekomendasikan buku kues,True
bisakah kamu merekomendasikan buku bagus,bisakah kamu merekomendasikan buku bagus,obisa merekomendasikan buku kues,False
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental pada mahasiswa,Bagaimana pendapat Anda tentang pentingnya menjaga kesehatan mental bagi mahasiswa?,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan mahasiswa sina mental,True
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental pada mahasiswa,apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental pada mahasiswa,kwai kusafa yang o pikir adi pentingnya ta jaga kesehatan mahasiswa sina mental,False
apa pendapatmu tentang budaya saat ini,Apa pandangan Anda tentang budaya masa kini?,o pendapat akape adi budaya saat ige,True
apa pendapatmu tentang budaya saat ini,apa pendapatmu tentang budaya saat ini,o pendapat akape adi budaya saat ige,False
saya tidak suka makanan yang terlalu pedas,Saya tidak menyukai makanan yang terlalu pedas.,yai suka ta kumnamin yang babayar tuni,True
saya tidak suka makanan yang terlalu pedas,saya tidak suka makanan yang terlalu pedas,yai suka ta kumnamin yang babayar tuni,False
bagaimana pandanganmu tentang penggunaan teknologi blockchain di indonesia?,Bagaimana pandangan Anda mengenai pemanfaatan teknologi blockchain di Indonesia?,o pandangan akape adi penggunaan teknologi blockchain di indonesia?,True
bagaimana pandanganmu tentang penggunaan teknologi blockchain di indonesia?,bagaimana pandanganmu tentang penggunaan teknologi blockchain di indonesia?,o pandangan akape adi penggunaan teknologi blockchain di indonesia?,False
apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan,Apa yang dapat kita lakukan untuk mendukung pengembangan energi berkelanjutan?,kwai kusafa yang bisa tana buat mendukung pengembangan energi berkelanjutan,True
apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan,apa yang bisa kita lakukan untuk mendukung pengembangan energi berkelanjutan,kwai kusafa yang bisa tana buat mendukung pengembangan energi berkelanjutan,False
aku suka berjalan-jalan di taman,Saya senang berjalan-jalan di taman.,yai esuka apanpana ami taman,True
aku suka berjalan-jalan di taman,aku suka berjalan-jalan di taman,yai esuka apanpana ami taman,False
"teman saya sedang sakit, jadi saya ingin mengunjunginya","Teman saya sedang sakit, sehingga saya ingin menjenguknya.","etemani izin ana, jadi eingin eti eniga ia",True
"teman saya sedang sakit, jadi saya ingin mengunjunginya","teman saya sedang sakit, jadi saya ingin mengunjunginya","etemani izin ana, jadi eingin eti eniga ia",False
bagaimana caramu mendukung inisiatif pendidikan di daerah terpencil,Dengan cara apa Anda memberikan dukungan terhadap program pendidikan di wilayah terpencil?,o cara akape mendukung inisiatif pendidikan ami tompat terpencil,True
bagaimana caramu mendukung inisiatif pendidikan di daerah terpencil,bagaimana caramu mendukung inisiatif pendidikan di daerah terpencil,o cara akape mendukung inisiatif pendidikan ami tompat terpencil,False
apa yang kamu ketahui tentang kebudayaan betawi,Apa pengetahuan Anda mengenai budaya Betawi?,o bare kusafa tentang mincia betawi sina budaya,True
apa yang kamu ketahui tentang kebudayaan betawi,apa yang kamu ketahui tentang kebudayaan betawi,o bare kusafa tentang mincia betawi sina budaya,False
"sangat menarik, tapi juga berisiko tinggi.","Sungguh menarik, namun memiliki tingkat risiko yang besar.","menarik paskali, tapi iresiko wagi waginesan",True
"sangat menarik, tapi juga berisiko tinggi.","sangat menarik, tapi juga berisiko tinggi.","menarik paskali, tapi iresiko wagi waginesan",False
"iya, aku suka film animasi karena ceritanya menarik.","Benar, saya menyukai film animasi sebab alur ceritanya mengasyikkan.","yo, yai suka film animasi karena icarita menarik",True
"iya, aku suka film animasi karena ceritanya menarik.","iya, aku suka film animasi karena ceritanya menarik.","yo, yai suka film animasi karena icarita menarik",False
pengembangan keterampilan komunikasi sebagai aspek penting dalam pendidikan,Pengembangan kemampuan berkomunikasi sebagai elemen krusial dalam dunia pendidikan.,ati barik pikiran tafrukwai sebagai aspek penting ami pendidikan,True
pengembangan keterampilan komunikasi sebagai aspek penting dalam pendidikan,pengembangan keterampilan komunikasi sebagai aspek penting dalam pendidikan,ati barik pikiran tafrukwai sebagai aspek penting ami pendidikan,False
tolong beri tahu saya jika kamu ingin berbicara tentang masalah ini.,Mohon beri kabar jika Anda ingin mendiskusikan persoalan ini.,tolong ofarakwai adi tai kalau omau afrokwai tentang masalah ige,True
tolong beri tahu saya jika kamu ingin berbicara tentang masalah ini.,tolong beri tahu saya jika kamu ingin berbicara tentang masalah ini.,tolong ofarakwai adi tai kalau omau afrokwai tentang masalah ige,False
bagaimana cara membuat kue brownies yang enak,Bagaimana langkah-langkah membuat brownies yang lezat?,akape tana kukis brownis yang yang minak,True
bagaimana cara membuat kue brownies yang enak,bagaimana cara membuat kue brownies yang enak,akape tana kukis brownis yang yang minak,False
apa makanan favoritmu dari berbagai daerah di indonesia?,Apa hidangan favorit Anda dari berbagai wilayah di Indonesia?,o kumnamin favorit kusafa afi berbagai urag ami indonesia?,True
apa makanan favoritmu dari berbagai daerah di indonesia?,apa makanan favoritmu dari berbagai daerah di indonesia?,o kumnamin favorit kusafa afi berbagai urag ami indonesia?,False
bagaimana cara kita bisa mendukung program pendidikan anak di daerah tertinggal?,Bagaimana upaya yang dapat kita lakukan untuk mendukung program pendidikan anak di daerah tertinggal?,akape ita cara bisa ta dukung program pendidikan kapropir ami urag tartinggal,True
bagaimana cara kita bisa mendukung program pendidikan anak di daerah tertinggal?,bagaimana cara kita bisa mendukung program pendidikan anak di daerah tertinggal?,akape ita cara bisa ta dukung program pendidikan kapropir ami urag tartinggal,False
bagaimana cara kamu belajar tentang gaya hidup,Bagaimana metode yang Anda gunakan untuk mempelajari gaya hidup?,o cara akape balajar tentang gaya hidup,True
bagaimana cara kamu belajar tentang gaya hidup,bagaimana cara kamu belajar tentang gaya hidup,o cara akape balajar tentang gaya hidup,False
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental di tempat kerja?,Apa pandangan Anda mengenai urgensi menjaga kesehatan mental di lingkungan kerja?,kwai kusafa yang o pikir adi pentingnya menjaga ita kesehatan mental ami tompat karja?,True
apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental di tempat kerja?,apa yang kamu pikirkan tentang pentingnya menjaga kesehatan mental di tempat kerja?,kwai kusafa yang o pikir adi pentingnya menjaga ita kesehatan mental ami tompat karja?,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil?","Menurut Anda, langkah apa saja yang dapat dilakukan untuk menekan pemakaian bahan bakar fosil?",menurut o kusafa watan yang bisa tana buat ta kurangi bahan bakar fosil yang ita karagatuni tapaki,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi penggunaan bahan bakar fosil?",menurut o kusafa watan yang bisa tana buat ta kurangi bahan bakar fosil yang ita karagatuni tapaki,False
bagaimana cara mencapai pusat kota dari sini,Bagaimana rute menuju pusat kota dari lokasi ini?,akape ta capai pusat urag afi ige,True
bagaimana cara mencapai pusat kota dari sini,bagaimana cara mencapai pusat kota dari sini,akape ta capai pusat urag afi ige,False
apa pendapatmu tentang mobil listrik,Apa pandangan Anda mengenai kendaraan listrik?,o pendapat akape adi mobil listrik,True
apa pendapatmu tentang mobil listrik,apa pendapatmu tentang mobil listrik,o pendapat akape adi mobil listrik,False
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan?,Apa yang dapat kita lakukan untuk mendukung kemajuan teknologi yang ramah lingkungan?,kwai kusafa yang bisa tana buat mendukung pengembangan teknologi ramah lingkungan?,True
apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan?,apa yang bisa kita lakukan untuk mendukung pengembangan teknologi ramah lingkungan?,kwai kusafa yang bisa tana buat mendukung pengembangan teknologi ramah lingkungan?,False
apa yang kamu suka tentang automotif,Apa hal yang Anda sukai dari dunia otomotif?,kwai kusafa yang o suka adi otomotif,True
apa yang kamu suka tentang automotif,apa yang kamu suka tentang automotif,kwai kusafa yang o suka adi otomotif,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketergantungan pada energi fosil","Menurut Anda, langkah apa saja yang dapat diambil untuk mengurangi ketergantungan terhadap energi fosil?",menurut o kusafa watan yang bisa tana buat ta kurangi tabaku harap watan adi energi fosil,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketergantungan pada energi fosil","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi ketergantungan pada energi fosil",menurut o kusafa watan yang bisa tana buat ta kurangi tabaku harap watan adi energi fosil,False
bagaimana pendapatmu tentang pertunjukan teater yang kita tonton kemarin,Bagaimana tanggapan Anda mengenai pertunjukan teater yang kita saksikan kemarin?,opendapat akape adi sina pertunjukkan teater yang ta fogim karja,True
bagaimana pendapatmu tentang pertunjukan teater yang kita tonton kemarin,bagaimana pendapatmu tentang pertunjukan teater yang kita tonton kemarin,opendapat akape adi sina pertunjukkan teater yang ta fogim karja,False
"aku baik-baik saja, terima kasih","Saya dalam keadaan baik, terima kasih.",yai fifian watan o,True
"aku baik-baik saja, terima kasih","aku baik-baik saja, terima kasih",yai fifian watan o,False
anak saya ingin belajar berenang,Putra/putri saya berminat untuk belajar berenang.,e yanak amau balajar aruri,True
anak saya ingin belajar berenang,anak saya ingin belajar berenang,e yanak amau balajar aruri,False
apa pendapatmu tentang ml bagaimana pengalamanmu dengan ml,Bagaimana pandanganmu mengenai ML dan pengalamanmu dengan ML?,o pendapat akape adi ml o pengalaman akape adi ml,True
